Date,BTC,ETH,LTC
2018-01-01,13657.2001953125,772.6409912109,229.0330047607
2018-01-02,14982.099609375,884.4439697266,255.6840057373
2018-01-03,15201,962.7199707031,245.3679962158
2018-01-04,15599.2001953125,980.9219970703,241.3699951172
2018-01-05,17429.5,997.7199707031,249.2709960938
2018-01-06,17527,1041.6800537109,296.4540100098
2018-01-07,16477.599609375,1153.1700439453,288.4509887695
2018-01-08,15170.099609375,1148.5300292969,255.7630004883
2018-01-09,14595.400390625,1299.7399902344,247.0370025635
2018-01-10,14973.2998046875,1255.8199462891,250.5180053711
2018-01-11,13405.7998046875,1154.9300537109,229.3659973145
2018-01-12,13980.599609375,1273.1999511719,236.8560028076
2018-01-13,14360.2001953125,1396.4200439453,259.1929931641
2018-01-14,13772,1366.7700195313,238.6750030518
2018-01-15,13819.7998046875,1291.9200439453,232.7740020752
2018-01-16,11490.5,1053.6899414063,188.3309936523
2018-01-17,11188.599609375,1014.25,186.5160064697
2018-01-18,11474.900390625,1036.2800292969,192.8370056152
2018-01-19,11607.400390625,1039.0999755859,192.9640045166
2018-01-20,12899.2001953125,1155.1500244141,211.0180053711
2018-01-21,11600.099609375,1049.5799560547,190.421005249
2018-01-22,10931.400390625,1003.2600097656,180.0079956055
2018-01-23,10868.400390625,986.2290039063,177.8070068359
2018-01-24,11359.400390625,1058.7800292969,179.9869995117
2018-01-25,11259.400390625,1056.0300292969,180.2720031738
2018-01-26,11171.400390625,1055.1700439453,176.7339935303
2018-01-27,11440.7001953125,1107.0699462891,180.8860015869
2018-01-28,11786.2998046875,1246.0100097656,193.8650054932
2018-01-29,11296.400390625,1182.3599853516,181.6640014648
2018-01-30,10106.2998046875,1071.1300048828,165.2760009766
2018-01-31,10221.099609375,1118.3100585938,163.3509979248
2018-02-01,9170.5400390625,1036.7900390625,142.2969970703
2018-02-02,8830.75,915.7849731445,131.3789978027
2018-02-03,9174.91015625,964.0189819336,160.25
2018-02-04,8277.009765625,834.6820068359,148.0249938965
2018-02-05,6955.2700195313,697.9509887695,125.3300018311
2018-02-06,7754,793.1220092773,142.9909973145
2018-02-07,7621.2998046875,757.0679931641,138.2030029297
2018-02-08,8265.58984375,817.8070068359,149.466003418
2018-02-09,8736.98046875,883.8649902344,163.9499969482
2018-02-10,8621.900390625,860.4149780273,155.5930023193
2018-02-11,8129.9702148438,814.6599731445,148.9900054932
2018-02-12,8926.5703125,868.7069702148,161.5659942627
2018-02-13,8598.3095703125,845.2579956055,159.5540008545
2018-02-14,9494.6298828125,923.5609741211,213.3589935303
2018-02-15,10166.400390625,936.9760131836,225.425994873
